date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:21	1475/1475	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Feb%202026%2012:31:26%20GMT	https://multisafechain-nodes.vercel.app/robots.txt		(from )
13:31:21	35498/35498	---MCZ	200	added ('OK')	text/html	etag:W/%220ad166b22dbfbe87a44258d78ea8467e%22	https://multisafechain-nodes.vercel.app/	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/index.html	(from )
13:31:22	6112/6112	---MCZ	200	added ('OK')	text/css	etag:W/%22e7845acead79634bbcc32a6afefef188%22	https://multisafechain-nodes.vercel.app/css/styles.css	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/css/styles.css	(from https://multisafechain-nodes.vercel.app/)
13:31:22	3717/3717	---MCZ	200	added ('OK')	text/css	etag:W/%22ed67defc5e0f50f73a5a1eb2b00c260e%22	https://multisafechain-nodes.vercel.app/css/icofont.min.css	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/css/icofont.min.css	(from https://multisafechain-nodes.vercel.app/)
13:31:26	1487209/1487209	---MCZ	200	added ('OK')	application/javascript	etag:W/%22001823efd173104a47f37d4b302d8387%22	https://multisafechain-nodes.vercel.app/js/coingecko-coin-price-marquee-widget.js	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/js/coingecko-coin-price-marquee-widget.js	(from https://multisafechain-nodes.vercel.app/)
13:31:27	3086019/3086019	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f6a812aa2c1cb197f02bcfcfe37774e6%22	https://multisafechain-nodes.vercel.app/js/coingecko-coin-compare-chart-widget.js	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/js/coingecko-coin-compare-chart-widget.js	(from https://multisafechain-nodes.vercel.app/)
13:31:27	1504836/1504836	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab19c13920c5218bd5e5e76e465f54ad%22	https://multisafechain-nodes.vercel.app/js/coingecko-coin-market-ticker-list-widget.js	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/js/coingecko-coin-market-ticker-list-widget.js	(from https://multisafechain-nodes.vercel.app/)
13:31:28	3718/3718	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Feb%202026%2012:31:33%20GMT	https://multisafechain-nodes.vercel.app/cdn.jsdelivr.net/npm/disable-devtool/disable-devtool.min.js	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/cdn.jsdelivr.net/npm/disable-devtool/disable-devtool.min.5.delayed	(from https://multisafechain-nodes.vercel.app/)
13:31:29	108790/108790	---MCZ	200	added ('OK')	text/html	etag:W/%22b1c5bd9d6837f2c1ff02117ae649db93%22	https://multisafechain-nodes.vercel.app/conn/index.html	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/conn/index.html	(from https://multisafechain-nodes.vercel.app/)
13:31:29	39574/39574	---M--	200	added ('OK')	image/png	etag:%2275dfbb1a1805db1568a78ec72bc95f08%22	https://multisafechain-nodes.vercel.app/images/user.png	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/images/user.png	(from https://multisafechain-nodes.vercel.app/)
13:31:30	69144/69144	---M--	200	added ('OK')	image/png	etag:%220e778e419846a4e8aea4331a88b65367%22	https://multisafechain-nodes.vercel.app/images/crypto%20card.png	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/images/crypto%20card.png	(from https://multisafechain-nodes.vercel.app/)
13:31:31	34563/34563	---MCZ	200	added ('OK')	text/html	etag:W/%224b65fb578553ebaaa1e8ec6351c9c131%22	https://multisafechain-nodes.vercel.app/js/embed-widget-timeline.html	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/js/embed-widget-timeline.html	(from https://multisafechain-nodes.vercel.app/)
13:31:32	34551/34551	---MCZ	200	added ('OK')	text/html	etag:W/%22b395ac415ff892d0979f0b59e4e2ebc8%22	https://multisafechain-nodes.vercel.app/images/Bg-pattern.html	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/images/Bg-pattern.html	(from https://multisafechain-nodes.vercel.app/css/styles.css)
13:31:32	34558/34558	---MCZ	200	added ('OK')	text/html	etag:W/%22e6c9b2b82301e44316b664c1d796b400%22	https://multisafechain-nodes.vercel.app/css/fonts/icofont.html	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/css/fonts/icofont.html	(from https://multisafechain-nodes.vercel.app/css/icofont.min.css)
13:31:33	34556/34556	---MCZ	200	added ('OK')	text/html	etag:W/%22e5fda73ace0b0b8e6e3e492f76077190%22	https://multisafechain-nodes.vercel.app/css/fonts/icofont-2.html	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/css/fonts/icofont-2.html	(from https://multisafechain-nodes.vercel.app/css/icofont.min.css)
13:31:34	3718/3718	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Feb%202026%2012:31:39%20GMT	https://multisafechain-nodes.vercel.app/icon.png	C:/Users/user/Desktop/AAAmywebsite/aa%20%20%20d/multisafechain-nodes.vercel.app/icon.d.delayed	(from https://multisafechain-nodes.vercel.app/conn/index.html)
